source,platform,text
Rose Boréal,website,"Free to move. Free to slow down. Your sustainable movement brand, infused with good vibes  designed in Canada."
Rose Boréal,website,"The Core Collection is a return to what truly matters. Soft, minimal, and consciously crafted, these pieces are the foundation of a wardrobe built on comfort and purpose."
Rose Boréal,website,Rose Boreal is a sustainable activewear brand that grew its roots in Eastern Canada.
Rose Boréal,website,"Nestled in the lush forests and snowy peaks of the Quebec Laurentians, we wanted our name to pay homage to the natural beauty that surrounds us. Our journey began with a vision to create clothing that celebrates movement and embraces sustainability. By offering outdoor lovers a selection of versatile, eco-responsible and long-lasting garments, we are doing our part to protect the natural environment we love so much."
Rose Boréal,website,"Rooted in Sustainability, Crafted with Care From the moment our designs take shape to the eventual end-of-life of our garments, sustainability is at the core of everything we do.We prioritize eco-conscious materials and ethical practices, ensuring that each piece reflects our dedication to preserving the environment."
Rose Boréal,website,"Inspired by Nature, Designed for You Every detail is crafted with care to suit your active lifestyle while staying true to our commitment to sustainability. We are B Corp certified, meaning that the garments you purchase are developed under strict social and environmental accountability standards."
Rose Boréal,website,"A Promise to Protect Beyond our commitment to developing attractive and durable activewear, we advocate for ethical practices throughout our supply chain. We ensure safe working conditions and fair treatment of everyone involved, from yarn sourcing to garment production."
Rose Boréal,website,"Collective Approach We aim to inspire women everywhere to love their bodies, move because it makes them feel good, slow down because we need to and prioritize self-care."
Rose Boréal,website,Consciously Created We design and produce sustainable activewear while holding people and our planet at the heart of every decision we make.
Rose Boréal,website,"Community We are building a community of kind, inspiring and thoughtful individuals eager to be part of a changing ideology in the fashion system."
Rose Boréal,website,"Comfort We embrace slowing down - not only in how we operate as a brand, but we also encourage it as a lifestyle choice. Our products are made for a life led with intention and designed to offer you daily comfort."
Rose Boréal,website,"Title The Costa Rica Retreat. Nervous System Reset Date  Location April 18th to April 25th, Tierra Encantada, Nosara Main Description Discover a unique sanctuary nestled in the lush jungle of Nosaraone of the worlds rare Blue Zones, where long life, ease, and everyday wellbeing are part of the culture. This magical place invites you to slow down, breathe deeper, and reconnect with your true essence. Surrounded by ocean, mountains, and vibrant jungle, the energy here naturally supports a return to balance, inner calm, and vitality. This retreat isnt just a pause. Its a deep reset for your nervous system. A moment to step away from the noise and give your body real rest. Through yoga, breathwork, nature, mindful movement, and quiet spaces, youll release tension, restore your energy, and rediscover ease in your body."
Rose Boréal,website,"Meals Each meal is a sensory experience, an ode to authentic, vibrant flavors. Here, everything is 100 organic, local, fresh, and alive with nourishment. The cuisine awakens the senses, touches the soul, and celebrates the beauty of real foodvegetarian, gluten-free, dairy-free, and prepared with organic ingredients, many of them grown directly on site. An invitation to slow down and truly savor."
Rose Boréal,website,Retreat Program Daily yoga and meditation Access to Vie Harmony Spa Forest experiences inspired by Shinrin-Yoku Yin yoga with essential oils Sharing circles  cacao ceremony Creativity and personal development workshops Nourishing meals  inspiring conversations Free time to rest or explore nature Beach excursion with optional surfing A special Rose Boréal surprise bag
Rose Boréal,website,"Womens Strength Training  Activewear  Why Muscle Matters for Women Strength training is becoming a foundation of womens health. Beyond aesthetics, building muscle supports longevity, hormone balance, mental well-being, and physical independence. At the same time, wearing womens activewear designed..."
Rose Boréal,website,"The Magic of Words The Power of Words by Maxime Morin , founder of Rose Boreal Ive always been fascinated by words. They calm me, ground me, bring me back to myself. And..."
Rose Boréal,website,How to Plan a Restorative Staycation in Your Own Backyard How to Plan a Restorative Staycation in Your Own Backyard A step-by-step guide to local vacations that nourish youand the planet What is a staycationand why is it worth it?...
Rose Boréal,website,Why Take a Yoga Teacher Training Even If You Dont Want to Teach  Rose Boréa Yoga Teacher Training What If Its Really a Journey for You? Why take a yoga teacher trainingeven if you dont want to teach? Yoga teacher trainings are often seen as...
Rose Boréal,website,"Honouring Truth, Celebrating Resilience A Conversation with Isa Gros-Louis On this National Indigenous Peoples Day, we pause to recognize, listen, and learn. Its a time to celebrate the richness of Indigenous cultures, languages, and knowledgebut also to reflect on..."
Rose Boréal,website,"Why Printed Leggings Are Still A Good Idea  And How To Rock Them With Style Gone are the days when printed leggings were synonymous with galaxy patterns and questionable tribal prints. Printed leggings are back  and this time, theyre sticking around. SpringSummer 2025 has..."
Rose Boréal,website,"What If You Added a Touch of Power to Your Practice? Steel Mace Vinyasa. Dynamic, innovative, and surprisingly accessible, this unique practice blends the flow of yoga, the strength of functional fitness, and the energy of a full-body HIIT workout. The..."
Rose Boréal,website,"Rewire Your Brain for a Better Life Our brain begins to develop long before we're born. Even in the womb, billions of neurons form, acting as tiny electrical messengers. At birth, the neurons linked to survival are..."
Rose Boréal,website,"The phases of the moon and how they affect you Since the dawn of time, the moon has always held a special place for most cultures - revered for its rhythms - and for connecting with its inner state as..."
Rose Boréal,news,"Review of Rose Boreal, a Sustainable Activewear Brand"
Rose Boréal,news,"Whenever a new fashion brand reaches out for promotion on Setting Mind, I follow two simple steps to ensure their credibility. Firstly, I visit their about webpage to read the why and hows of the company. Next, I check their sustainability webpage if any. One such brand that recently reached out to me is Rose Boreal, based in Montreal, Quebec."
Rose Boréal,news,"Led by Co-Founder and CEO Maxime Morin, Rose Boreal specializes in activewear said to prioritize eco-conscious materials and ethical practices. Upon examining their about webpage, their core company values such as environmental accountability standards, collective approach, and community are listed. However, I felt that the information on its sustainability webpage was lacklustre with no data or numbers provided."
Rose Boréal,news,"Digging further, Rose Boreal is B Corp certified, so thats reassuring. Their products are also made locally in Quebec. Apparel manufacturing in Canada is quite rare, so it comes as a genuine surprise that Rose Boreal chose to keep production close and not overseas. Although overseas garment manufacturing is relatively cheaper than local and therefore more profitable, this comes at the price of additional carbon emissions and potential environmental damage."
Rose Boréal,news,"As for their materials, they use TENCEL Modal, their in-house EcoLight fabric made from 80 recycled plastic bottles, and organic cotton, among others. According to their website, not all but many of Rose Boreals fibres are OEKO-TEX Standard 100 certified. The sample piece I got, the Panorama Shorts, is made of 47 TENCEL Modal, with 47 polyester and 6 spandex for performance. Technically, not all the materials are sustainable, considering the fact polyester and spandex are synthetic plastic fibres derived from petroleum."
Rose Boréal,news,Panorama Shorts
Rose Boréal,news,"As for the Panorama Shorts themselves, it was super light, airy, soft to the touch, and comfortable. Not having pockets was kind of a bummer but these shorts were designed more for running, hiking, and other casual althetics."
Rose Boréal,news,"In summary, I like Rose Boreals overall aesthetic and quality garments, and their company fundamentals look great. There is slight room for improvement in regards to transparency and materials, but Im sure they will work it out. The sustainabe fashion industry is quite competitive and margins can be slim with all the added costs, so whether Rose Boreal can succeed and survive is another question."
Rose Boréal,ad,"At Rose Boreal, we stand behind the principle that we are all interconnected. Together, we're rewriting the fashion narrative, weaving threads of connection and consciousness into everything we do. Were happy youre here - lets inspire change together!"
Rose Boréal,ad,"Did you knowevery year in North America, 37kg of textiles per person end up in the landfill? For this reason, at Rose Boreal, we want to change how things are done."
Rose Boréal,ad,We are eco-sustainable
Rose Boréal,ad,"We collaborate with partners to design eco-friendly products, minimizing water, pesticides and chemicals."
Rose Boréal,ad,We are timeless  long lasting
Rose Boréal,ad,"We meticulously create each piece, inspecting stitches and choosing fabrics to ensure lasting Rose Boreal quality."
Rose Boréal,ad,We are low waste
Rose Boréal,ad,"Our second chance accessory collection revitalizes ""unusable"" to give fabrics a second chance at life."
